epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,42143.5,1.28364,2.47176,0.94507,1.08903,0.44138,0.11788,0.12392,0.07532,0.41042,0.10978,0.11576,0.05394,1.4164,2.70433,1.06018,1.10609,0.000314824,0.000314824,0.000314824
18,44894.6,1.28042,2.47821,0.9357,1.0872,0.43984,0.12083,0.1274,0.07546,0.41128,0.1109,0.11675,0.05353,1.41442,2.69712,1.05449,1.09997,0.000292813,0.000292813,0.000292813
19,47542.1,1.26703,2.45263,0.9286,1.08473,0.44088,0.12305,0.129,0.07727,0.39923,0.11342,0.1178,0.05481,1.38468,2.66311,1.02622,1.08805,0.000270802,0.000270802,0.000270802
20,49978.2,1.26286,2.43018,0.9242,1.08269,0.43707,0.12278,0.12827,0.07695,0.3957,0.11411,0.11948,0.05529,1.38781,2.67565,1.02747,1.09288,0.000248791,0.000248791,0.000248791
21,82588.4,1.31619,2.51097,1.00085,1.10138,0.34982,0.12144,0.12976,0.07787,0.32481,0.11134,0.11975,0.05547,1.39735,2.68108,1.03356,1.09229,0.00022678,0.00022678,0.00022678
22,86358.3,1.28932,2.47639,0.96199,1.09101,0.3414,0.12765,0.13037,0.07796,0.29395,0.11723,0.11922,0.05546,1.40342,2.65574,1.03495,1.0919,0.000204769,0.000204769,0.000204769
23,88457.7,1.27493,2.44242,0.94556,1.08572,0.36647,0.12436,0.13043,0.07856,0.32614,0.11473,0.12086,0.05587,1.38929,2.65713,1.0191,1.08368,0.000182758,0.000182758,0.000182758
24,90882.7,1.27174,2.44676,0.93811,1.08069,0.35026,0.12531,0.12977,0.07849,0.3038,0.11514,0.11964,0.05606,1.38213,2.65118,1.02031,1.0828,0.000160747,0.000160747,0.000160747
25,93371.6,1.26513,2.43308,0.9267,1.07941,0.36252,0.12484,0.13072,0.07839,0.31563,0.11661,0.12066,0.05616,1.37777,2.66326,1.01373,1.08345,0.000138736,0.000138736,0.000138736
26,96691.4,1.25409,2.4218,0.92472,1.07599,0.3658,0.1262,0.13129,0.07954,0.32924,0.11563,0.12154,0.05666,1.37226,2.64038,1.00855,1.08188,0.000116725,0.000116725,0.000116725
27,100776,1.24674,2.41667,0.91846,1.06987,0.34736,0.12602,0.13183,0.07936,0.30708,0.11747,0.12097,0.05656,1.37303,2.64915,1.0071,1.07989,9.4714e-05,9.4714e-05,9.4714e-05
28,104890,1.24039,2.39339,0.90559,1.06745,0.34358,0.12516,0.13071,0.07922,0.31578,0.11483,0.12061,0.05596,1.36273,2.63709,1.00009,1.07544,7.2703e-05,7.2703e-05,7.2703e-05
29,109268,1.23192,2.3951,0.89857,1.06417,0.35581,0.12652,0.13195,0.07998,0.32129,0.11671,0.12121,0.05661,1.35665,2.63226,0.99578,1.07194,5.0692e-05,5.0692e-05,5.0692e-05
30,113553,1.23025,2.38734,0.90013,1.06212,0.34957,0.12699,0.13234,0.08026,0.32721,0.11811,0.12208,0.05699,1.35501,2.62027,0.98901,1.07181,2.8681e-05,2.8681e-05,2.8681e-05
